FILEPATH,FILENAME,HYDROPHONENAME,FILETIME_SEC_FROMMIDNIGHT,SIGNALTIME_SEC_FROMMIDNIGHT,TAGCODE,TOA_MICRO_SEC,SNR_DB,CRC,PHASEMARGIN,CHANNEL
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.43.0156316.bwm,P18DN,52423.01563,52423.01972,G7245491E,4091.98,6.25,0,8.44,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.43.0156316.bwm,P18DB,52423.01563,52423.02003,G7245491E,4399.03,12.49,0,8.75,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.45.1685181.bwm,P18DB,52425.16852,52425.17422,G7245491E,5704.93,14.05,0,8.75,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.47.3410665.bwm,P18DN,52427.34107,52427.34344,G7245491E,2372.42,7.84,0,7.5,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.47.3410665.bwm,P18DB,52427.34107,52427.34428,G7245491E,3212.57,12.78,0,8.78,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.47.3410665.bwm,P18DB,52427.34107,52427.34428,G7245491E,3214.39,14.72,0,8.88,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.49.5136138.bwm,P18DB,52429.51361,52429.51768,G7245491E,4066.22,17.32,0,8.31,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.51.6894380.bwm,P18DB,52431.68944,52431.69402,G7245491E,4585.35,14.88,0,8.75,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.51.7090992.bwm,P18DN,52431.7091,52431.71239,G7253EA15,3292.77,9.6,0,7.41,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.52.4726038.bwm,P18DN,52432.4726,52432.47729,G726D97E1,4687.88,10.44,0,8.69,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.52.5217563.bwm,P18DN,52432.52176,52432.52651,G724DE105,4757,10.05,0,8.62,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.52.5217563.bwm,P18DB,52432.52176,52432.52683,G724DE105,5070.3,21.84,0,8.81,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.52.5217563.bwm,P18DB,52432.52176,52432.52683,G724DE105,5072.74,20.09,0,8.94,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.53.8587087.bwm,P18DB,52433.85871,52433.86425,G7253EA15,5540.55,17.75,0,8.03,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.53.8587087.bwm,P18DB,52433.85871,52433.86425,G7253EA15,5540.55,16.96,0,7.28,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.53.8587087.bwm,P18DB,52433.85871,52433.86425,G7253EA15,5542.99,15.72,0,7.78,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.53.8587087.bwm,P18DB,52433.85871,52433.87211,G7245491E,13400.05,13.98,0,8.59,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.53.8587087.bwm,P18DB,52433.85871,52433.87211,G7245491E,13402.3,15.56,0,8.53,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.53.8718163.bwm,P18DB,52433.87182,52433.87211,G7245491E,295.1,14.28,0,8.59,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.53.8718163.bwm,P18DB,52433.87182,52433.87211,G7245491E,297.64,15.88,0,8.66,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.54.7532871.bwm,P18DB,52434.75329,52434.75895,G724DE105,5658.81,15.75,0,8.31,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.54.7532871.bwm,P18DB,52434.75329,52434.75895,G724DE105,5661.21,14.95,0,8.56,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.55.6314809.bwm,P18DB,52435.63148,52435.63598,G7259AED5,4497.12,16.07,0,6.84,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.56.4539691.bwm,P18DB,52436.45397,52436.45853,G726D97E1,4564.05,12.18,0,8.09,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.56.9979250.bwm,P18DB,52436.99793,52437.00322,G724DE105,5298.07,8.77,0,8.03,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.58.1677582.bwm,P18DN,52438.16776,52438.171,G7253EA15,3239.71,10.88,0,8.72,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.58.1677582.bwm,P18DN,52438.16776,52438.17101,G7253EA15,3247.45,4.51,0,9.19,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.58.2267413.bwm,P18DN,52438.22674,52438.2302,G7245491E,3456.18,7.56,0,7.94,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.58.2267413.bwm,P18DN,52438.22674,52438.2302,G7245491E,3461.65,8.85,0,8.5,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.58.4462900.bwm,P18DN,52438.44629,52438.45094,G726D97E1,4652.02,6.92,0,7.62,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.33.58.4462900.bwm,P18DB,52438.44629,52438.45123,G726D97E1,4939.88,12.82,0,8.12,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.00.3239213.bwm,P18DN,52440.32392,52440.32669,G7253EA15,2768.41,8.75,0,6.69,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.00.3239213.bwm,P18DB,52440.32392,52440.32724,G7253EA15,3317.84,11.55,0,7.25,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.00.4058426.bwm,P18DB,52440.40584,52440.41057,G7245491E,4732.03,12.83,0,8.34,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.00.4418875.bwm,P18DN,52440.44189,52440.44616,G726D97E1,4273.67,5.53,0,7.5,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.00.4418875.bwm,P18DN,52440.44189,52440.44616,G726D97E1,4276.26,6.35,0,7.56,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.00.4648257.bwm,P18DB,52440.46483,52440.47016,G7259AED5,5333.8,14.1,0,8.09,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.00.4648257.bwm,P18DB,52440.46483,52440.47016,G7259AED5,5338.4,14.82,0,7.94,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.02.4374854.bwm,P18DN,52442.43749,52442.44236,G726D97E1,4870.05,5.23,0,8.41,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.02.4374854.bwm,P18DB,52442.43749,52442.44269,G726D97E1,5204.47,11.39,0,9.06,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.02.4374854.bwm,P18DB,52442.43749,52442.44269,G726D97E1,5206.75,12.58,0,9.06,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.02.4374854.bwm,P18DB,52442.43749,52442.4427,G726D97E1,5211.45,13.73,0,7.94,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.02.4735308.bwm,P18DB,52442.47353,52442.48399,G7253EA15,10459.47,6.49,0,8.12,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.02.5849434.bwm,P18DB,52442.58494,52442.59082,G7245491E,5881.45,14.97,0,7.5,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.02.5849434.bwm,P18DB,52442.58494,52442.59082,G7245491E,5881.45,12.93,0,7.38,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.04.6362474.bwm,P18DB,52444.63625,52444.64033,G7253EA15,4080.96,15.38,0,7.81,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.04.7673212.bwm,P18DB,52444.76732,52444.77132,G7245491E,4000.35,14.02,0,8.25,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.04.7673212.bwm,P18DB,52444.76732,52444.77132,G7245491E,4002.46,16.81,0,8.38,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.04.7673212.bwm,P18DB,52444.76732,52444.77133,G7245491E,4004.93,14.83,0,8.44,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.05.3145542.bwm,P18DB,52445.31455,52445.32,G7259AED5,5446.7,13.64,0,8.44,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.06.0125221.bwm,P18DN,52446.01252,52446.01606,G724DE105,3541.31,4.63,0,7.75,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.06.0125221.bwm,P18DB,52446.01252,52446.01634,G724DE105,3821.75,9.66,0,8.81,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.06.4319578.bwm,P18DB,52446.43196,52446.43681,G726D97E1,4855.23,12.9,0,8.69,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.06.4319578.bwm,P18DB,52446.43196,52446.43681,G726D97E1,4855.23,11.03,0,8.56,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.06.4319578.bwm,P18DB,52446.43196,52446.43682,G726D97E1,4857.64,11.07,0,8.56,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.06.7924109.bwm,P18DB,52446.79241,52446.7977,G7253EA15,5288.59,17.68,0,8.16,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.06.9464225.bwm,P18DB,52446.94642,52446.95214,G7245491E,5720.36,17.78,0,8.78,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.06.9464225.bwm,P18DB,52446.94642,52446.95215,G7245491E,5723.06,15.68,0,8.59,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.08.2702672.bwm,P18DB,52448.27027,52448.27371,G724DE105,3438.9,10.82,0,8.78,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.08.4308328.bwm,P18DB,52448.43083,52448.43475,G726D97E1,3920.68,13.6,0,8.78,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.08.4308328.bwm,P18DB,52448.43083,52448.43476,G726D97E1,3923.37,11.91,0,8.66,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.08.4308328.bwm,P18DB,52448.43083,52448.43476,G726D97E1,3923.37,8.77,0,8.78,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.08.9518505.bwm,P18DN,52448.95185,52448.95523,G7253EA15,3382.83,9.25,0,7.94,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.08.9518505.bwm,P18DB,52448.95185,52448.95549,G7253EA15,3642.07,14.46,0,8.34,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.08.9518505.bwm,P18DB,52448.95185,52448.9555,G7253EA15,3644.52,15.87,0,8.59,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.10.4264303.bwm,P18DB,52450.42643,52450.43246,G726D97E1,6029.32,11.06,0,7.75,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.10.4264303.bwm,P18DB,52450.42643,52450.43246,G726D97E1,6029.32,9.11,0,8.56,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.11.1080140.bwm,P18DB,52451.10801,52451.11379,G7253EA15,5779.67,15.02,0,8.97,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.11.1080140.bwm,P18DB,52451.10801,52451.1138,G7253EA15,5781.93,16.69,0,9.03,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.13.2674537.bwm,P18DN,52453.26745,52453.27121,G7253EA15,3758.42,11.15,0,8.38,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.13.2674537.bwm,P18DB,52453.26745,52453.27147,G7253EA15,4013.03,17.69,0,7.56,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.13.2674537.bwm,P18DB,52453.26745,52453.27147,G7253EA15,4015.45,15.62,0,7.56,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.13.4902794.bwm,P18DN,52453.49028,52453.49563,G7245491E,5346.49,10.73,0,8.41,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.13.4902794.bwm,P18DN,52453.49028,52453.49563,G7245491E,5348.94,8.68,0,8.41,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.13.4902794.bwm,P18DN,52453.49028,52453.49563,G7245491E,5348.94,8.45,0,8,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.13.4902794.bwm,P18DB,52453.49028,52453.49589,G7245491E,5606.19,17.56,0,7.44,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.14.4241797.bwm,P18DB,52454.42418,52454.42876,G726D97E1,4580.83,9.57,0,8.38,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.14.4241797.bwm,P18DB,52454.42418,52454.42876,G726D97E1,4583.39,10.45,0,9.03,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.15.0467811.bwm,P18DB,52455.04678,52455.05256,G724DE105,5781.82,7.94,0,8.16,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.15.0467811.bwm,P18DB,52455.04678,52455.05256,G724DE105,5781.82,6.74,0,8.88,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.15.4236183.bwm,P18DB,52455.42362,52455.42951,G7253EA15,5886.98,16.67,0,6.56,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.15.4236183.bwm,P18DN,52455.42362,52455.42976,G7253EA15,6144.25,11.65,0,8.97,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.15.4236183.bwm,P18DN,52455.42362,52455.42976,G7253EA15,6144.25,10.05,0,8.66,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.15.4236183.bwm,P18DN,52455.42362,52455.42976,G7253EA15,6144.25,7.02,0,8.91,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.15.6726583.bwm,P18DB,52455.67266,52455.67709,G7245491E,4436.12,16.73,0,8.41,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.17.5830580.bwm,P18DB,52457.58306,52457.58811,G7253EA15,5050.48,16.39,0,8.12,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.17.5830580.bwm,P18DB,52457.58306,52457.59001,G7253EA15,6953.7,7.1,0,9.03,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.17.8550362.bwm,P18DN,52457.85504,52457.85816,G7245491E,3127.55,7.82,0,7.56,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.19.7424981.bwm,P18DN,52459.7425,52459.74618,G7253EA15,3682.26,8.46,0,8.34,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.19.7424981.bwm,P18DN,52459.7425,52459.74618,G7253EA15,3682.26,6.77,0,8.34,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.19.7424981.bwm,P18DN,52459.7425,52459.74624,G7253EA15,3737.48,10.06,0,8.72,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.20.0341375.bwm,P18DN,52460.03414,52460.03913,G7245491E,4989.72,11.06,0,6.94,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.20.0341375.bwm,P18DB,52460.03414,52460.03931,G7245491E,5172.5,17.67,0,7.75,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.20.4208049.bwm,P18DN,52460.4208,52460.42462,G726D97E1,3815.64,5.89,0,8.06,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.20.4208049.bwm,P18DB,52460.4208,52460.42494,G726D97E1,4137.15,14.34,0,8.88,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.21.8265709.bwm,P18DB,52461.82657,52461.83248,G724DE105,5906.67,8.64,0,8.81,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.21.8986616.bwm,P18DB,52461.89866,52461.90487,G7253EA15,6204.45,16.24,0,9.03,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.22.2165153.bwm,P18DN,52462.21652,52462.22041,G7245491E,3894.25,11.32,0,8.78,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.22.2165153.bwm,P18DN,52462.21652,52462.22041,G7245491E,3894.25,9.43,0,8.78,1
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.22.2165153.bwm,P18DB,52462.21652,52462.22065,G7245491E,4131.33,17.33,0,9.16,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.22.3312050.bwm,P18DB,52462.33121,52462.3359,G7259AED5,4697.69,10.81,0,8.38,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.22.3312050.bwm,P18DB,52462.33121,52462.33591,G7259AED5,4700.45,8.78,0,8.19,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.22.3312050.bwm,P18DB,52462.33121,52462.33751,G7259AED5,6300.24,9.77,0,6.94,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.0581013.bwm,P18DN,52464.0581,52464.06292,G7253EA15,4816.35,7.47,0,7.94,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.0581013.bwm,P18DN,52464.0581,52464.06298,G7253EA15,4879.17,8.86,0,7.19,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.0581013.bwm,P18DB,52464.0581,52464.06317,G7253EA15,5068.99,16.81,0,8.28,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.0908701.bwm,P18DB,52464.09087,52464.0951,G724DE105,4228.7,10.41,0,7.47,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.3988932.bwm,P18DN,52464.39889,52464.40176,G7245491E,2868.01,10.54,0,7.56,1
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.3988932.bwm,P18DB,52464.39889,52464.40201,G7245491E,3118.29,13.47,0,8.84,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.3988932.bwm,P18DB,52464.39889,52464.40201,G7245491E,3120.71,17.87,0,8.72,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.3988932.bwm,P18DB,52464.39889,52464.40202,G7245491E,3123.12,13.43,0,8.47,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.24.7626229.bwm,P18DB,52464.76262,52464.76882,G7259AED5,6192.83,12.7,0,7.88,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.26.2175414.bwm,P18DB,52466.21754,52466.22197,G7253EA15,4430.16,16.91,0,7.41,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.26.3486152.bwm,P18DB,52466.34862,52466.35429,G724DE105,5678.42,6.92,0,9.09,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.26.3486152.bwm,P18DB,52466.34862,52466.3543,G724DE105,5680.64,8.65,0,9.03,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.26.4174289.bwm,P18DB,52466.41743,52466.42168,G726D97E1,4248.51,11.88,0,8.78,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.26.5779945.bwm,P18DB,52466.57799,52466.58376,G7245491E,5770.16,16.41,0,9,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.26.5779945.bwm,P18DB,52466.57799,52466.58376,G7245491E,5770.16,9.62,0,9,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_001,BON_P3_CH34_04.19.2013.14.34.26.5779945.bwm,P18DB,52466.57799,52466.58377,G7245491E,5772.63,13.94,0,9.12,2
