FILEPATH,FILENAME,HYDROPHONENAME,FILETIME_SEC_FROMMIDNIGHT,SIGNALTIME_SEC_FROMMIDNIGHT,TAGCODE,TOA_MICRO_SEC,SNR_DB,CRC,PHASEMARGIN,CHANNEL
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.06.56.0480617.bwm,P18DB,54416.04806,54416.04818,G7245491E,118.4,3.75,0,8.44,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.07.02.5755359.bwm,P18DB,54422.57554,54422.57899,G7245491E,3458.61,3.18,0,7.81,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.07.02.5755359.bwm,P18DB,54422.57554,54422.57899,G7245491E,3458.61,1.77,0,7.75,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.07.02.5755359.bwm,P18DB,54422.57554,54422.579,G7245491E,3461.26,4.33,0,7.62,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.45.2276984.bwm,P18DB,54825.2277,54825.23097,G7253EA15,3269.94,4.52,0,8.44,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.45.2276984.bwm,P18DB,54825.2277,54825.23097,G7253EA15,3272.48,7.29,0,8.31,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.45.2276984.bwm,P18DB,54825.2277,54825.23098,G7253EA15,3279.74,6.41,0,8.28,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.51.2144951.bwm,P18DB,54831.2145,54831.21988,G724DE105,5389.79,5.23,0,9.06,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.55.2810601.bwm,P18DB,54835.28106,54835.28465,G726D97E1,3587.22,4.58,0,8.84,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.55.7299878.bwm,P18DB,54835.72999,54835.73418,G724DE105,4189.42,6.14,0,8.69,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.55.7299878.bwm,P18DB,54835.72999,54835.73498,G724DE105,4991.94,4.93,0,8.62,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.55.7299878.bwm,P18DB,54835.72999,54835.73512,G724DE105,5132.24,8.87,0,8.44,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.55.7299878.bwm,P18DB,54835.72999,54835.73512,G724DE105,5132.24,7.45,0,8.69,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.56.4443401.bwm,P18DB,54836.44434,54836.4481,G7259AED5,3758.68,7.41,0,8.88,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.56.4443401.bwm,P18DB,54836.44434,54836.4481,G7259AED5,3763.55,8.12,0,8.78,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.56.4443401.bwm,P18DB,54836.44434,54836.4491,G7259AED5,4762.16,3.59,0,6.88,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.58.1515767.bwm,P18DB,54838.15158,54838.15557,G7253EA15,3989.73,4.2,0,8.44,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.58.1515767.bwm,P18DB,54838.15158,54838.15557,G7253EA15,3992.01,7.28,0,8.31,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.13.58.1515767.bwm,P18DB,54838.15158,54838.15557,G7253EA15,3992.01,5.9,0,8.31,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.00.3700011.bwm,P18DB,54840.37,54840.37517,G7245491E,5169.27,6.32,0,8.66,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.00.3700011.bwm,P18DB,54840.37,54840.37517,G7245491E,5169.27,5.45,0,8.91,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.04.5217640.bwm,P18DB,54844.52176,54844.52786,G7259AED5,6099.78,10.84,0,8.19,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.04.5217640.bwm,P18DB,54844.52176,54844.52786,G7259AED5,6099.78,9.4,0,8.25,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.04.5217640.bwm,P18DB,54844.52176,54844.52786,G7259AED5,6099.78,6.97,0,8.38,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.06.5435774.bwm,P18DB,54846.54358,54846.54768,G7259AED5,4107.21,8.38,0,8.75,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.06.5435774.bwm,P18DB,54846.54358,54846.54768,G7259AED5,4107.21,7.24,0,8.81,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.11.5309358.bwm,P18DB,54851.53094,54851.53224,G724DE105,1308.48,5.45,0,9.25,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.11.5309358.bwm,P18DB,54851.53094,54851.53224,G724DE105,1308.48,4.5,0,9,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.11.5178287.bwm,P18DB,54851.51783,54851.53225,G724DE105,14418.71,6.06,0,9.25,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.11.5178287.bwm,P18DB,54851.51783,54851.53225,G724DE105,14418.71,5.09,0,8.94,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.11.5309358.bwm,P18DB,54851.53094,54851.53348,G724DE105,2545.61,9.48,0,9.16,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.11.5309358.bwm,P18DB,54851.53094,54851.53348,G724DE105,2545.61,8.27,0,9.22,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.13.7854056.bwm,P18DB,54853.78541,54853.78895,G724DE105,3542.28,7.6,0,9.03,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.13.7854056.bwm,P18DB,54853.78541,54853.78895,G724DE105,3544.84,5.16,0,9.09,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.13.7854056.bwm,P18DB,54853.78541,54853.79022,G724DE105,4810.48,7.33,0,7.81,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.14.6210012.bwm,P18DB,54854.621,54854.62651,G7259AED5,5509.12,9.39,0,9.09,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.14.6210012.bwm,P18DB,54854.621,54854.62651,G7259AED5,5509.12,7.82,0,8.91,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.14.6210012.bwm,P18DB,54854.621,54854.62774,G7259AED5,6739,6.07,0,7.44,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.15.5942249.bwm,P18DB,54855.59422,54855.59919,G7245491E,4960.95,5.7,0,8,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.15.5942249.bwm,P18DB,54855.59422,54855.59919,G7245491E,4963.59,7.47,0,8.88,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.15.5942249.bwm,P18DB,54855.59422,54855.59919,G7245491E,4963.59,4.43,0,8.88,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.16.0398756.bwm,P18DB,54856.03988,54856.04584,G724DE105,5964.12,9.73,0,9.28,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.16.0398756.bwm,P18DB,54856.03988,54856.04585,G724DE105,5971.46,7.94,0,8.94,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.16.6428153.bwm,P18DB,54856.64282,54856.64638,G7259AED5,3566.88,10.92,0,9,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.17.7700499.bwm,P18DB,54857.77005,54857.77439,G7245491E,4335.74,9.01,0,9.62,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.17.7700499.bwm,P18DB,54857.77005,54857.77439,G7245491E,4335.74,7.47,0,9.56,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.18.2976224.bwm,P18DB,54858.29762,54858.30239,G724DE105,4768.18,11.49,0,9.47,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.18.2976224.bwm,P18DB,54858.29762,54858.30239,G724DE105,4770.56,10.27,0,9.09,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.19.1954777.bwm,P18DB,54859.19548,54859.20017,G726D97E1,4692.01,8.94,0,9.47,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.19.1954777.bwm,P18DB,54859.19548,54859.20017,G726D97E1,4694.46,10.28,0,9.41,2
E:\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.19.1954777.bwm,P18DB,54859.19548,54859.20017,G726D97E1,4694.46,7.77,0,9.41,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.19.6902813.bwm,P18DB,54859.69028,54859.69569,G7253EA15,5411.77,4.1,0,8.94,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.19.6902813.bwm,P18DB,54859.69028,54859.6957,G7253EA15,5413.94,9.9,0,8.81,2
H:\BON_baffle_test_04192013\BON_P3_CH34\Board2\04.19.2013\BON_P3_CH34_003,BON_P3_CH34_04.19.2013.15.14.19.6902813.bwm,P18DB,54859.69028,54859.6957,G7253EA15,5413.94,7.9,0,8.94,2
