point_id,gpstime,easting  ,northing  ,lat  ,long 
87,13:56:27,2387714.626,220595.285,45.6428000,-121.9404690
88,13:56:28,2387714.646,220595.241,45.6427996,-121.9404687
89,13:56:29,2387714.664,220595.237,45.6427995,-121.9404685
90,13:56:30,2387714.661,220595.250,45.6427996,-121.9404685
91,13:56:31,2387714.624,220595.266,45.6427998,-121.9404690
92,13:56:32,2387714.586,220595.301,45.6428001,-121.9404695
93,13:56:33,2387714.581,220595.322,45.6428003,-121.9404696
94,13:56:34,2387714.554,220595.327,45.6428003,-121.9404699
95,13:56:35,2387714.517,220595.355,45.6428006,-121.9404704
96,13:56:36,2387714.548,220595.353,45.6428006,-121.9404700
97,13:56:37,2387714.549,220595.320,45.6428003,-121.9404700
98,13:56:38,2387714.559,220595.332,45.6428004,-121.9404699
99,13:56:39,2387714.580,220595.321,45.6428003,-121.9404696
100,13:56:40,2387714.583,220595.307,45.6428001,-121.9404695
101,13:56:41,2387714.639,220595.246,45.6427996,-121.9404688
102,13:56:42,2387714.679,220595.236,45.6427995,-121.9404683
103,13:56:43,2387714.684,220595.204,45.6427992,-121.9404682
104,13:56:44,2387714.669,220595.223,45.6427994,-121.9404684
105,13:56:45,2387714.675,220595.230,45.6427995,-121.9404684
106,13:56:46,2387714.620,220595.290,45.6428000,-121.9404691
107,13:56:47,2387714.546,220595.340,45.6428004,-121.9404700
108,13:56:48,2387714.600,220595.276,45.6427999,-121.9404693
109,13:56:49,2387714.615,220595.300,45.6428001,-121.9404691
110,13:56:50,2387714.700,220595.215,45.6427993,-121.9404680
111,13:56:51,2387714.724,220595.207,45.6427993,-121.9404677
112,13:56:52,2387714.728,220595.187,45.6427991,-121.9404677
113,13:56:53,2387714.708,220595.194,45.6427992,-121.9404679
114,13:56:54,2387714.683,220595.177,45.6427990,-121.9404682
115,13:56:55,2387714.692,220595.181,45.6427990,-121.9404681
116,13:56:56,2387714.684,220595.198,45.6427992,-121.9404682
117,13:56:57,2387714.675,220595.250,45.6427996,-121.9404684
118,13:56:58,2387714.697,220595.222,45.6427994,-121.9404681
119,13:56:59,2387714.599,220595.233,45.6427995,-121.9404693
120,13:57:00,2387714.628,220595.257,45.6427997,-121.9404690
121,13:57:01,2387714.648,220595.282,45.6427999,-121.9404687
122,13:57:02,2387714.591,220595.313,45.6428002,-121.9404694
123,13:57:03,2387714.508,220595.366,45.6428007,-121.9404705
124,13:57:04,2387714.529,220595.346,45.6428005,-121.9404702
125,13:57:05,2387714.553,220595.338,45.6428004,-121.9404699
126,13:57:06,2387714.571,220595.318,45.6428002,-121.9404697
127,13:57:07,2387714.598,220595.306,45.6428001,-121.9404694
128,13:57:08,2387714.591,220595.320,45.6428003,-121.9404695
129,13:57:09,2387714.586,220595.302,45.6428001,-121.9404695
130,13:57:10,2387714.605,220595.268,45.6427998,-121.9404693
131,13:57:11,2387714.606,220595.270,45.6427998,-121.9404692
132,13:57:12,2387714.596,220595.274,45.6427999,-121.9404694
133,13:57:13,2387714.615,220595.273,45.6427998,-121.9404691
134,13:57:14,2387714.611,220595.294,45.6428000,-121.9404692
135,13:57:15,2387714.594,220595.309,45.6428002,-121.9404694
136,13:57:16,2387714.597,220595.292,45.6428000,-121.9404694
137,13:57:17,2387714.590,220595.298,45.6428001,-121.9404695
138,13:57:18,2387714.562,220595.324,45.6428003,-121.9404698
139,13:57:19,2387714.546,220595.323,45.6428003,-121.9404700
140,13:57:20,2387714.542,220595.332,45.6428004,-121.9404701
141,13:57:21,2387714.539,220595.344,45.6428005,-121.9404701
142,13:57:22,2387714.554,220595.320,45.6428003,-121.9404699
143,13:57:23,2387714.568,220595.324,45.6428003,-121.9404697
144,13:57:24,2387714.579,220595.321,45.6428003,-121.9404696
145,13:57:25,2387714.583,220595.305,45.6428001,-121.9404695
146,13:57:26,2387714.582,220595.310,45.6428002,-121.9404696
147,13:57:27,2387714.592,220595.316,45.6428002,-121.9404694
148,13:57:28,2387714.587,220595.289,45.6428000,-121.9404695
149,13:57:29,2387714.584,220595.295,45.6428000,-121.9404695
150,13:57:30,2387714.584,220595.307,45.6428001,-121.9404695
151,13:57:31,2387714.576,220595.307,45.6428001,-121.9404696
152,13:57:32,2387714.564,220595.319,45.6428003,-121.9404698
153,13:57:33,2387714.552,220595.335,45.6428004,-121.9404699
154,13:57:34,2387714.538,220595.334,45.6428004,-121.9404701
155,13:57:35,2387714.519,220595.336,45.6428004,-121.9404704
156,13:57:36,2387714.528,220595.350,45.6428005,-121.9404703
157,13:57:37,2387714.523,220595.345,45.6428005,-121.9404703
158,13:57:38,2387714.527,220595.340,45.6428004,-121.9404703
